target	gene_id	transcript	chromStart	chromEnd	Buffer_10	Buffer_15	Buffer_25	Buffer_50	name	score	strand
MITEEc1_IS630_unknown	1245022_13519_14539	1245022	13519	14539	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245022_12716_13148	1245022	12716	13148	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245022_15965_17045	1245022	15965	17045	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245022_17235_18096	1245022	17235	18096	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245022_18234_18870	1245022	18234	18870	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_10108_11371	1245048	10108	11371	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_11576_12557	1245048	11576	12557	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_12558_12690	1245048	12558	12690	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_8485_9829	1245048	8485	9829	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_7145_8423	1245048	7145	8423	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_6982_7114	1245048	6982	7114	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_12809_14039	1245048	12809	14039	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_14094_14771	1245048	14094	14771	FP	FP	FP	FP			
ISEc9_IS1380_unknown,IS5_IS5_IS5	1245048_14919_15024	1245048	14919	15024	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_117633_119895	1245056	117633	119895	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_116209_117493	1245056	116209	117493	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_115581_116058	1245056	115581	116058	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_120077_121511	1245056	120077	121511	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_121586_122639	1245056	121586	122639	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245056_122822_123776	1245056	122822	123776	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_66060_66162	1245062	66060	66162	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_66210_67068	1245062	66210	67068	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_67199_67451	1245062	67199	67451	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_67873_68329	1245062	67873	68329	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_65792_65912	1245062	65792	65912	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_65598_65712	1245062	65598	65712	FP	FP	FP	FP			
ISEc38_ISL3_unknown	1245062_64524_65559	1245062	64524	65559	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_46134_47271	1245096	46134	47271	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_45535_45655	1245096	45535	45655	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_43823_45323	1245096	43823	45323	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_42649_43711	1245096	42649	43711	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_47341_47911	1245096	47341	47911	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_48085_48931	1245096	48085	48931	FP	FP	FP	FP			
ISEc1_ISAs1_unknown	1245096_49026_49920	1245096	49026	49920	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_2885_3272	1245106	2885	3272	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_1200_2709	1245106	1200	2709	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_1039_1162	1245106	1039	1162	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_890_1004	1245106	890	1004	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_3321_3399	1245106	3321	3399	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_3432_3738	1245106	3432	3738	FP	FP	FP	FP			
IS629_IS3_IS51	1245106_4002_6087	1245106	4002	6087	FP	FP	FP	FP			
IS1R_IS1_unknown	1245136_1_181	1245136	1	181	FP	FP	FP	FP			
IS1R_IS1_unknown	1245136_225_444	1245136	225	444	FP	FP	FP	FP			
IS1R_IS1_unknown	1245038_98886_99339	1245038	98886	99339	FP	FP	FP	FP			
IS1R_IS1_unknown	1245038_98286_98805	1245038	98286	98805	FP	FP	FP	FP			
		HG941718.1	233727	236259				FN	ISEc23_1	0.0	+
		HG941718.1	814902	815025				FN	MITEEc1_1	0.0	-
		HG941718.1	1365600	1366443				FN	ISCfr4	0.0	+
		HG941718.1	1372287	1373517				FN	ISEc24	0.0	-
		HG941718.1	1417476	1418621				FN	IS4	0.0	-
		HG941718.1	1480031	1482480				FN	ISEc12_1	0.0	+
		HG941718.1	1647528	1648819				FN	ISEc1	0.0	+
		HG941718.1	1997567	1998999				FN	IS1397_1	0.0	-
		HG941718.1	2103782	2104446				FN	IS609_1	0.0	+
		HG941718.1	2135365	2136797				FN	IS1397_2	0.0	-
		HG941718.1	2142423	2143132				FN	IS200C_1	0.0	-
		HG941718.1	2244066	2245788				FN	ISEc38	0.0	-
		HG941718.1	2248880	2250339				FN	ISEc20	0.0	+
		HG941718.1	2252365	2254232				FN	IS100kyp	0.0	-
		HG941718.1	2265833	2268365				FN	ISEc23_2	0.0	+
		HG941718.1	2271108	2273665				FN	ISEc12_2	0.0	+
		HG941718.1	2284842	2285551				FN	IS200C_1	0.0	-
		HG941718.1	2384714	2385482				FN	IS1A_1	0.0	-
		HG941718.1	3111919	3114403				FN	ISEc12_3	0.0	+
		HG941718.1	3237314	3237436				FN	MITEEc1_2	0.0	-
		HG941718.1	3288119	3288887				FN	IS1A_2	0.0	+
		HG941718.1	3290146	3290914				FN	IS1A_3	0.0	-
		HG941718.1	3293136	3294446				FN	IS1203	0.0	-
		HG941718.1	3295103	3295881				FN	ISKox3	0.0	-
		HG941718.1	3313143	3314364				FN	IS30	0.0	+
		HG941718.1	3314362	3315303				FN	ISSd1	0.0	+
		HG941718.1	3316099	3317706				FN	ISEch14	0.0	+
		HG941718.1	3323689	3325020				FN	IS2	0.0	-
		HG941718.1	3334553	3336544				FN	IS682	0.0	+
		HG941718.1	3336528	3338118				FN	ISEc22	0.0	+
		HG941718.1	3360526	3362935				FN	ISEc10	0.0	+
		HG941718.1	3558365	3559615				FN	ISEc52_2	0.0	+
		HG941718.1	3820313	3821771				FN	IS609_2	0.0	-
		HG941718.1	4140077	4140846				FN	IS1F_1	0.0	-
		HG941718.1	4156066	4156581				FN	ISSen10	0.0	-
		HG941718.1	4158851	4159646				FN	IS629	0.0	-
		HG941718.1	4171128	4173827				FN	ISCro1	0.0	+
		HG941718.1	4175107	4177238				FN	IS21	0.0	-
		HG941718.1	4925088	4927620				FN	ISEc23_3	0.0	+
		HG941718.1	4937432	4938940				FN	ISEc9	0.0	+
		HG941718.1	4938940	4940135				FN	IS5	0.0	-
		HG941718.1	4942385	4943650				FN	IS600	0.0	-
		HG941718.1	4943650	4944441				FN	ISEc52_3	0.0	+
		HG941718.1	4953115	4953883				FN	IS1F_2	0.0	+
		HG941718.1	4956000	4958289				FN	ISEc8	0.0	-
		HG941718.1	4971900	4974384				FN	ISEc12_4	0.0	+
		HG941718.1	4976678	4977300				FN	ISSen1	0.0	+
		HG941718.1	5007344	5008594				FN	ISEc52_4	0.0	-
		HG941718.1	5014813	5016698				FN	ISEc53	0.0	-
		HG941719.1	36288	37108				FN	IS26_1	0.0	+
		HG941719.1	37108	38748				FN	IS26_2	0.0	-
		HG941719.1	43434	44254				FN	IS26_3	0.0	-
		HG941719.1	66901	67669				FN	IS1R	0.0	+
		HG941719.1	75316	76136				FN	IS26_4	0.0	+
		HG941719.1	86143	86963				FN	IS26_5	0.0	+
		HG941719.1	93932	94812				FN	IS6100	0.0	+
		HG941719.1	98044	98864				FN	IS26_6	0.0	-
		HG941719.1	102449	103269				FN	IS26_7	0.0	+
		HG941719.1	105455	106275				FN	IS26_8	0.0	-
		HG941719.1	120367	121135				FN	IS1A	0.0	+
		HG941719.1	131258	133790				FN	ISEc23	0.0	-
